brake,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle,millis
100,1,1,1258,3,9119,10022,119,0,1745168767427
100,1,1,1258,3,9973,10022,119,0,1745168767587
100,1,1,1258,2,9330,10022,109,0,1745168767867
100,1,1,1258,2,9128,10022,105,0,1745168768027
100,1,1,1258,2,8679,10022,100,0,1745168768227
100,1,1,1258,2,8255,10022,95,0,1745168768427
100,1,1,1258,2,7566,10022,91,0,1745168768667
100,1,1,1258,1,8348,10022,79,0,1745168769107
100,1,1,1258,1,8282,10022,76,0,1745168769307
100,1,1,1258,1,7816,10022,73,0,1745168769507
0,1,1,1258,1,7536,10022,73,0,1745168769667
0,1,1,1258,1,7513,10022,70,0,1745168769827
0,1,1,1258,1,7243,10022,67,0,1745168770067
0,1,1,1258,1,7223,10022,65,2,1745168770348
0,1,1,1258,1,7415,10022,66,13,1745168770748
0,1,1,1258,1,7693,10022,68,18,1745168771028
0,1,1,1258,1,7856,10022,72,5,1745168771308
0,1,1,1258,1,7672,10022,72,0,1745168771468
0,1,1,1258,1,7498,10022,71,0,1745168771668
0,1,1,1258,1,7251,10022,67,0,1745168771908
0,1,1,1258,1,6994,10022,65,0,1745168772188
0,1,1,1258,1,6817,10022,62,0,1745168772508
0,1,1,1258,1,6563,10022,61,0,1745168772708
0,1,1,1258,1,6231,10022,59,0,1745168773068
0,1,1,1258,1,6288,10022,57,3,1745168773387
0,1,1,1258,1,6229,10022,57,5,1745168773587
0,1,1,1258,1,6415,10022,58,7,1745168773827
0,1,1,1258,1,6935,10022,60,14,1745168774187
0,1,1,1258,1,7255,10022,64,17,1745168774427
0,1,1,1258,1,7486,10022,66,19,1745168774587
0,1,1,1258,1,7950,10022,70,26,1745168774867
0,1,1,1258,1,8648,10022,75,35,1745168775227
0,1,1,1258,1,9144,10022,79,40,1745168775387
0,1,1,1258,1,9450,10022,81,42,1745168775547
0,1,1,1258,1,10250,10022,91,48,1745168775827
0,1,1,1258,2,9317,10022,99,50,1745168776187
0,1,1,1258,2,9638,10022,99,54,1745168776387
0,1,1,1258,2,10048,10022,113,57,1745168776627
0,1,1,1258,2,10863,10022,118,59,1745168776868
0,1,1,1258,2,11106,10022,121,59,1745168777068
0,1,1,1258,2,10642,10022,128,57,1745168777348
0,1,1,1258,3,9881,10022,138,61,1745168777628
0,1,1,1258,3,9693,10022,141,43,1745168777828
100,1,1,1258,3,9865,10022,136,0,1745168778148
100,1,1,1258,3,9174,10022,131,0,1745168778388
