brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle,millis
0,2025-04-20T17:21:30.658+01:00,81,1,1258,7,11102,10022,279,99,1745166090658
0,2025-04-20T17:21:30.818+01:00,81,1,1258,7,11180,10022,279,99,1745166090818
0,2025-04-20T17:21:31.018+01:00,81,1,1258,7,11094,10022,279,99,1745166091018
0,2025-04-20T17:21:31.258+01:00,81,1,1258,7,11094,10022,279,99,1745166091258
0,2025-04-20T17:21:31.578+01:00,81,1,1258,7,10586,10022,271,0,1745166091578
100,2025-04-20T17:21:31.938+01:00,81,1,1258,7,10135,10022,254,0,1745166091938
100,2025-04-20T17:21:32.378+01:00,81,1,1258,6,10430,10022,226,0,1745166092378
100,2025-04-20T17:21:32.538+01:00,81,1,1258,6,11170,10022,198,0,1745166092538
100,2025-04-20T17:21:32.738+01:00,81,1,1258,4,10460,10022,198,0,1745166092738
100,2025-04-20T17:21:33.059+01:00,81,1,1258,4,9826,10022,169,0,1745166093059
0,2025-04-20T17:21:33.299+01:00,81,1,1258,4,9689,10022,161,0,1745166093299
0,2025-04-20T17:21:33.579+01:00,81,1,1258,4,9447,10022,156,31,1745166093579
0,2025-04-20T17:21:33.739+01:00,81,1,1258,4,9793,10022,157,59,1745166093739
0,2025-04-20T17:21:33.979+01:00,81,1,1258,4,9986,10022,160,70,1745166093979
0,2025-04-20T17:21:34.179+01:00,81,1,1258,4,10314,10022,164,82,1745166094179
0,2025-04-20T17:21:34.579+01:00,81,1,1258,4,10765,10022,176,98,1745166094579
0,2025-04-20T17:21:34.899+01:00,81,1,1258,4,11737,10022,188,98,1745166094899
0,2025-04-20T17:21:35.219+01:00,81,1,1258,4,10374,10022,190,98,1745166095219
0,2025-04-20T17:21:35.659+01:00,81,1,1258,5,10977,10022,205,98,1745166095659
0,2025-04-20T17:21:36.059+01:00,81,1,1258,5,11477,10022,214,98,1745166096059
0,2025-04-20T17:21:36.299+01:00,81,1,1258,5,11734,10022,220,98,1745166096299
0,2025-04-20T17:21:36.579+01:00,81,1,1258,5,11045,10022,224,98,1745166096579
0,2025-04-20T17:21:36.899+01:00,81,1,1258,6,10717,10022,229,99,1745166096899
0,2025-04-20T17:21:37.178+01:00,81,1,1258,6,10772,10022,237,99,1745166097178
0,2025-04-20T17:21:37.538+01:00,81,1,1258,6,11189,10022,242,99,1745166097538
0,2025-04-20T17:21:37.738+01:00,81,1,1258,6,11313,10022,245,99,1745166097738
0,2025-04-20T17:21:37.978+01:00,81,1,1258,6,11444,10022,250,99,1745166097978
0,2025-04-20T17:21:38.338+01:00,81,1,1258,6,11703,10022,255,99,1745166098338
0,2025-04-20T17:21:38.578+01:00,81,1,1258,6,10516,10022,259,99,1745166098578
0,2025-04-20T17:21:38.738+01:00,81,1,1258,7,10486,10022,260,99,1745166098738
0,2025-04-20T17:21:38.938+01:00,81,1,1258,7,10570,10022,261,99,1745166098938
0,2025-04-20T17:21:39.218+01:00,81,1,1258,7,10750,10022,267,99,1745166099218
0,2025-04-20T17:21:39.378+01:00,81,1,1258,7,10799,10022,269,99,1745166099378
0,2025-04-20T17:21:39.579+01:00,81,1,1258,7,10875,10022,272,99,1745166099579
0,2025-04-20T17:21:39.819+01:00,81,1,1258,7,10937,10022,274,99,1745166099819
0,2025-04-20T17:21:40.219+01:00,81,1,1258,7,11150,10022,279,99,1745166100219
0,2025-04-20T17:21:40.459+01:00,81,1,1258,7,11241,10022,280,99,1745166100459
0,2025-04-20T17:21:40.739+01:00,81,1,1258,7,11336,10022,283,99,1745166100739
0,2025-04-20T17:21:41.019+01:00,81,1,1258,7,11399,10022,286,99,1745166101019
0,2025-04-20T17:21:41.179+01:00,81,1,1258,7,11368,10022,287,99,1745166101179
0,2025-04-20T17:21:41.499+01:00,81,1,1258,7,11569,10022,289,99,1745166101499
0,2025-04-20T17:21:41.819+01:00,81,1,1258,7,11628,10022,290,99,1745166101819
